time	zone	type	price
2017-11-27T16:17:55.000Z	us-east-1d	c4.4xlarge	0.2418
2017-11-27T16:17:53.000Z	us-east-1d	c4.4xlarge	0.2416
2017-11-27T16:15:39.000Z	us-east-1d	c4.4xlarge	0.2415
2017-11-27T16:13:23.000Z	us-east-1d	c4.4xlarge	0.2414
2017-11-27T16:13:21.000Z	us-east-1d	c4.4xlarge	0.2412
2017-11-27T16:08:45.000Z	us-east-1d	c4.4xlarge	0.2409
2017-11-27T16:07:15.000Z	us-east-1d	c4.4xlarge	0.2408
2017-11-27T15:56:21.000Z	us-east-1d	c4.4xlarge	0.2409
2017-11-27T15:56:03.000Z	us-east-1d	c4.4xlarge	0.2408
2017-11-27T15:55:01.000Z	us-east-1d	c4.4xlarge	0.2409
2017-11-27T15:52:01.000Z	us-east-1d	c4.4xlarge	0.2408
2017-11-27T15:51:21.000Z	us-east-1d	c4.4xlarge	0.2407
2017-11-27T15:45:57.000Z	us-east-1d	c4.4xlarge	0.2408
2017-11-27T15:44:03.000Z	us-east-1d	c4.4xlarge	0.2409
2017-11-27T15:37:13.000Z	us-east-1d	c4.4xlarge	0.2408
2017-11-27T15:29:59.000Z	us-east-1d	c4.4xlarge	0.2406
2017-11-27T15:28:03.000Z	us-east-1d	c4.4xlarge	0.2407
2017-11-27T15:25:41.000Z	us-east-1d	c4.4xlarge	0.2408
2017-11-27T15:24:41.000Z	us-east-1d	c4.4xlarge	0.2409
2017-11-27T15:21:31.000Z	us-east-1d	c4.4xlarge	0.2411
2017-11-27T15:20:27.000Z	us-east-1d	c4.4xlarge	0.2413
2017-11-27T15:19:27.000Z	us-east-1d	c4.4xlarge	0.2415
2017-11-27T15:18:25.000Z	us-east-1d	c4.4xlarge	0.2416
2017-11-27T15:14:07.000Z	us-east-1d	c4.4xlarge	0.2418
2017-11-27T15:10:12.000Z	us-east-1d	c4.4xlarge	0.2419
2017-11-27T15:09:50.000Z	us-east-1d	c4.4xlarge	0.2418
2017-11-27T15:09:34.000Z	us-east-1d	c4.4xlarge	0.2419
2017-11-27T15:07:52.000Z	us-east-1d	c4.4xlarge	0.2418
2017-11-27T15:06:38.000Z	us-east-1d	c4.4xlarge	0.2419
2017-11-27T15:06:18.000Z	us-east-1d	c4.4xlarge	0.242
2017-11-27T15:03:22.000Z	us-east-1d	c4.4xlarge	0.2419
2017-11-27T15:03:18.000Z	us-east-1d	c4.4xlarge	0.2421
2017-11-27T15:00:22.000Z	us-east-1d	c4.4xlarge	0.242
2017-11-27T14:59:23.000Z	us-east-1d	c4.4xlarge	0.2419
2017-11-27T14:59:21.000Z	us-east-1d	c4.4xlarge	0.2418
2017-11-27T14:57:33.000Z	us-east-1d	c4.4xlarge	0.2416
2017-11-27T14:57:31.000Z	us-east-1d	c4.4xlarge	0.2415
2017-11-27T14:56:35.000Z	us-east-1d	c4.4xlarge	0.2414
2017-11-27T14:56:33.000Z	us-east-1d	c4.4xlarge	0.2413
2017-11-27T14:56:31.000Z	us-east-1d	c4.4xlarge	0.2412
2017-11-27T14:56:29.000Z	us-east-1d	c4.4xlarge	0.2411
2017-11-27T14:55:51.000Z	us-east-1d	c4.4xlarge	0.241
2017-11-27T14:55:49.000Z	us-east-1d	c4.4xlarge	0.2408
2017-11-27T14:55:45.000Z	us-east-1d	c4.4xlarge	0.2406
2017-11-27T14:55:43.000Z	us-east-1d	c4.4xlarge	0.2404
